"substring(first_clean_out, matched[[1]], matched[[1]] + attr(matched[[1]], ""match.length"") - 1)"
"(yes, he was underbred. It showed like this always, your grandfather said, in all his formal contacts with people. He was like John L. Sullivan having taught himself painfully and tediously to do the schottische, having drilled himself and drilled himself in secret until he now believed it no longer necessary to count the music’s beat, say. He may have believed that your grandfather or Judge Benbow might have done it a little more effortlessly than he, but he would not have believed that anyone could have beat him in knowing when to do it and how. And besides, it was in his face; that was where his power lay, your grandfather said: that anyone could look at him and say, Given the occasion and the need, this man can and will do anything)"
(your grandfather said it had grown to almost fifty by now)
(the wedding)
(not cajoled: that would not have done it)
(the rain)
"(I dont speak of Ellen, of course: in fact, you will notice that most divorces occur with women who were married by tobacco-chewing j.p.’s in country courthouses or by ministers waked after midnight, with their suspenders showing beneath their coattails and no collar on and a wife or spinster sister in curl papers for witness. So is it too much to believe that these women come to long for divorce from a sense not of incompleteness but of actual frustration and betrayal? that regardless of the breathing evidence of children and all else, they still have in their minds even yet the image of themselves walking to music and turning heads, in all the symbolical trappings and circumstances of ceremonial surrender of that which they no longer possess? and why not, since to them the actual and authentic surrender can only be (and have been) a ceremony like the breaking of a banknote to buy a ticket for the train)"
"(or hoped: I have this from something your grandfather let drop one day and which he doubtless had from Sutpen himself in the same accidental fashion, since Sutpen never even told Ellen that he wanted it, which the fact that at the last minute he refused to support her in her desire and insistence upon it accounts partly for the tears)"
"(which his sister and daughter did not seem to possess, by the way)"
(it was at night: Sutpen had brought in a half dozen of his wild negroes to wait at the door with burning pine knots)
(Miss Rosa)
"(he was just fourteen then, he told your grandfather. Just the same age that Henry was that night in the stable which Miss Rosa told you about, which Henry could not quite stand up to)"
(the tears won; Ellen and the aunt wrote out a hundred invitations Sutpen brought in one of the wild negroes who carried them from door to door by hand and even sent out a dozen more personal ones for the dress rehearsal)
(including two of old Ikkemotubbe’s Chickasaws)
(they were both women)
(perhaps with the thimble on one finger)
(they threw nothing which could actually injure: it was only clods of dirt and vegetable refuse)
(there were doubtless pistols in the crowd; certainly knives: the negro would not have lived ten seconds if he had sprung)
(the men)
(Miss Rosa)
(her mother must have been at least forty and she died in that childbed and Miss Rosa never forgave her father for it)
(that principle which had left the aunt a virgin at thirty-five)
"(his face the same which Mr Coldfield now saw and had seen since that day when, with his future son-in-law for ostensible yokemate but actually whip, Mr Coldfield’s conscience had set the brakes and, surrendering even his share of the cargo, he and the son-in-law had parted)"
"(that aged and ancient and timeless absence of youth which consisted of a Cassandra-like listening beyond closed doors, of lurking in dim halls filled with that presbyterian effluvium of lugubrious and vindictive anticipation while she waited for the infancy and childhood with which nature had confounded and betrayed her to overtake the precocity of convinced disapprobation regarding any and every thing which could penetrate the walls of that house through the agency of any man, particularly her father, which the aunt seems to have invested her with at birth along with the swaddling clothes)"
"(Yes, Clytie was his daughter too: Clytemnestra. He named her himself. He named them all himself: all his own get and all the get of his wild niggers after the country began to assimilate them. Miss Rosa didn’t tell you that two of the niggers in the wagon that day were women? No, sir Quentin said. Yes. Two of them. And brought here neither by chance nor oversight. He saw to that, who had doubtless seen even further ahead than the two years it actually took him to build his house and show his good intentions to his neighbors until they allowed him to mix his wild stock with their tame, since the difference in tongue between his niggers and theirs could have been a barrier only for a matter of weeks or perhaps even days. He brought the two women deliberately; he probably chose them with the same care and shrewdness with which he chose the other livestock the horses and mules and cattle which he bought later on. And he lived out there for almost five years before he had speaking acquaintance with any white woman in the county, just as he had no furniture in his house and for the same reason: he had at the time nothing to exchange for it them or her. Yes. He named Clytie as he named them all, the one before Clytie and Henry and Judith even, with that same robust and sardonic temerity, naming with his own mouth his own ironic fecundity of dragon’s teeth which with the two exceptions were girls. Only I have always liked to believe that he intended to name her Cassandra, prompted by some pure dramatic economy not only to beget but to designate the presiding augur of his own disaster, and that he just got the name wrong through a mistake natural in a man who must have almost taught himself to read)"
(that strong vindictive consistent woman who seems to have been twice the man that Mr Coldfield was and who in very truth was not only Miss Rosa’s mother but her father too)
(Sutpen)
(he used the bar now)
(Miss Rosa now kept her father’s house as the aunt had done until the night the aunt climbed out the window and vanished)
"(at this time Ellen went through a complete metamorphosis, emerging into her next lustrum with the complete finality of actual re-birth)"
"(and who would have been, if her life had not declined into a time when even men found little enough to eat and the end of her days had been without trouble, fullbodied indeed. Not fat: just rounded and complete, the hair white, the eyes still even young, even a faint bloom yet on what would be dewlaps and not cheeks any longer, the small plump ringed unscarified hands folded in tranquil anticipation of the food, on the damask before the Haviland beneath the candelabra which he had fetched to town years and years ago in wagons, to the astonished and affronted outrage of his fellow citizens)"
(as you put it)
(time)
(so the town believed)
"(this the hoyden who could and did outrun and outclimb, and ride and fight both with and beside her brother)"
(if she had moved)
(if she had lived)
(he brought home with him a citation for valor in Lee’s own hand)
(there were twenty stores in Jefferson now)
"(it of necessity offered to the bride’s equipment and not the bride; it was Ellen who told this, with shrieks of amusement, more than once)"
"(which he evidently did not want, anyway)"
(he had an overseer now; it was the son of that same sheriff who had arrested him at his bride-to-be’s gate on the day of the betrothal)
"(it was 1860, even Mr Coldfield probably admitted that war was unavoidable)"
(and was never to see alive)
(now)
"(the clothes, castoff sometimes but usually new, which Ellen gave her from time to time were always silk, of course)"
"(she told this too, for the childish joke it was)"
"(you might say, repercussed)"
(it was a small store and he was his own clerk and from any point in it he could see any other point)
(and nights; she would have to wait until her father was asleep)
(she seemed to have retired to the darkened room which she was not to quit until she died two years later)
"(Sutpen or Judith: not Ellen, who would have been told nothing in the first place and would have forgot, failed to assimilate, it if she had been Ellen the butterfly, from beneath whom without warning the very sunbuoyed air had been withdrawn, leaving her now with the plump hands folded on the coverlet in the darkened room and the eyes above them probably not even suffering but merely filled with baffled incomprehension)"
"(but not the marriage of the aunt; it was Miss Rosa who entered that, along with Ellen’s death, on the day when she entered Mr Coldfield’s own and Charles Bon’s and even Sutpen’s)"
"(through a debt, by the way, not purchase)"
(though Miss Rosa now discovered that Ellen had been dyeing her hair evidently for years)
(though now unringed)
"(Henry up to now was just vanished, his birthright voluntarily repudiated; he had not yet returned to play his final part in his family’s doom and this, your grandfather said, spared Ellen too, not that it would have been the crushing and crowning blow but that it would have been wasted on her since the clinging moth, even alive, would have been incapable now of feeling anymore of wind or violence)"
(or evolving)
(Henry)
(so Henry must have believed)
(Henry)
(Henry)
(Bon)
(Bon)
(to him)
"(perhaps, probably)"
"(yes, Sutpen and Henry and the Coldfields too)"
(he was a Catholic of sorts)
(provided of course it was she herself who destroyed them)
(I like to think this)
(to the extent which they were able)
"(or rather, had thrust upon him)"
"(he never wrote her during that time. Henry would not let him; it was the probation, you see)"
(now and at last)
"(Bon was reading law. He would be, would almost have to, since only that could have made his residence bearable, regardless of what reason he may have brought with him for remaining; this, the perfect setting for his dilatory indolence: this digging into musty Blackstone and Coke where, of an undergraduate body still numbered in two figures, the law school probably consisted of six others beside Henry yes, he corrupted Henry to the law also; Henry changed in midterm and himself)"
(Bon)
(Bon)
(and likewise the drinkers who gulped it down like neat whiskey between flowery and unsubtle toasts)
(two of them)
(Bon)
(at the moment)
(for that time)
(if he chose)
(if on anything)
(which is all: there is nothing else)
(temporarily)
(and impossible)
(Henry)
(Henry’s)
(Henry)
(Bon)
(Judith)
"(the nurtured virgin, the supremely and traditionally idle)"
"(Colonel Sutpen now, since Sartoris had been deposed at the annual election of regimental officers the year before)"
(Judith)
"(and doubtless to him, meaningless)"
(stolen if you will)
(and this restores my faith not in human nature perhaps but at least in man)
(the scarecrows)
"(There. They have started firing again. Which to mention it is redundancy too, like the breathing or the need of ammunition. Because sometimes I think it has never stopped. It hasn’t stopped of course; I dont mean that. I mean, there has never been any more of it, that there was that one fusillade four years ago which sounded once and then was arrested, mesmerised raised muzzle by raised muzzle, in the frozen attitude of its own aghast amazement and never repeated and it now only the loud aghast echo jarred by the dropped musket of a weary sentry or by the fall of the spent body itself, out of the air which lies over the land where that fusillade first sounded and where it must remain yet because no other space under heaven will receive it. So that means that it is dawn again and that I must stop. Stop what? you will say. Why, thinking, remembering remark that I do not say, hoping ; to become once more for a period without boundaries or location in time, mindless and irrational companion and inmate of a body which, even after four years, with a sort of dismal and incorruptible fidelity which is incredibly admirable to me, is still immersed and obliviously bemused in recollections of old peace and contentment the very names of whose scents and sounds I do not know that I remember, which ignores even the presence and threat of a torn arm or leg as though through some secretly incurred and infallible promise and conviction of immortality.  But to finish.)"
"(each box said, the very best)"
"(It seemed to Quentin that he could actually see them, facing one another at the gate. Inside the gate what was once a park now spread, unkempt, in shaggy desolation, with an air dreamy remote and aghast like the unshaven face of a man just waking from ether, up to a huge house where a young girl waited in a wedding dress made from stolen scraps, the house partaking too of that air of scaling desolation, not having suffered from invasion but a shell marooned and forgotten in a backwater of catastrophe a skeleton giving of itself in slow driblets of furniture and carpet, linen and silver, to help to die torn and anguished men who knew, even while dying, that for months now the sacrifice and the anguish were in vain. They faced one another on the two gaunt horses, two men, young, not yet in the world, not yet breathed over long enough, to be old but with old eyes, with unkempt hair and faces gaunt and weathered as if cast by some spartan and even niggard hand from bronze, in worn and patched gray weathered now to the color of dead leaves, the one with the tarnished braid of an officer, the other plain of cuff, the pistol lying yet across the saddle bow unaimed, the two faces calm, the voices not even raised: Dont you pass the shadow of this post, this branch, Charles; and I am going to pass it, Henry)"
(so they will tell you)
"(brute instrument of that justice which presides over human events which, incept in the individual, runs smooth, less claw than velvet: but which, by man or woman flouted, drives on like fiery steel and overrides both weakly just and unjust strong, both vanquisher and innocent victimised, ruthless for appointed right and truth)"
(or was it the four years since Henry vanished or was it the nineteen years since I saw light and breathed?)
"(if he was, still lived and breathed at all)"
(so I thought)
(or would have if I had not touched it light and fast)
"(oh yes, he chose well; he bettered choosing, who created in his own image the cold Cerberus of his private hell)"
"(ay, perhaps decreed, since there is that justice whose Moloch’s palate-paunch makes no distinction between gristle bone and tender flesh)"
"(not my body: it still advanced, ran on: but I, myself, that deep existence which we lead, to which the movement of limbs is but a clumsy and belated accompanyment like so many unnecessary instruments played crudely and amateurishly out of time to the tune itself)"
(that carpet gone too)
"(ay, and love too)"
(this before the terror destroys all judgment whatever)
(trying to cry)
"(the bare coffee-colored feet motionless on the bare floor, the curve of the stair rising just beyond her)"
"(she did not even remove her gaze from mine for the reason that she was not looking at me but through me, apparently still musing upon the open door’s serene rectangle which I had broken)"
"(nay, which I must find, else breathing and standing there, I would have denied that I was ever born)"
(that nuptial couch of love and grief)
(my body)
"(yes, it needed the hand, the touch, for that)"
"(no, not mindless: anything but mindless: his own clairvoyant will tempered to amoral evil’s undeviating absolute by the black willing blood with which he had crossed it)"
(even if invisible)
(and Henry too when she spoke of him)
(that instant before my still advancing body should brush past her and reach the stair)
(she not owner: instrument; I still say that)
(my body)
(possibly all children; I do not know)
(so I have heard)
(and little else)
(yes: it too sentient victim just as she and I were)
"(and not to Judith, mind: perhaps I knew already, on the instant I entered the house and saw that face which was at once both more and less than Sutpen, perhaps I knew even then what I could not, would not, must not believe)"
"(Ay, wake up, Rosa; wake up not from what was, what used to be, but from what had not, could not have ever, been; wake, Rosa not to what should, what might have been, but to what cannot, what must not, be; wake, Rosa, from the hoping, who did believe there is a seemliness to bereavement even though grief be absent; believed there would be need for you to save not love perhaps, not happiness nor peace, but what was left behind by widowing and found that there was nothing there to save; who hoped to save her as you promised Ellen (not Charles Bon, not Henry: not either one of these from him or even from one another) and now too late, who would have been too late if you had come there from the womb or had been there already at the full strong capable mortal peak when she was born; who came twelve miles and nineteen years to save what did not need the saving, and lost instead yourself)"
"(even at nineteen knew, I would say if it were not for my nineteen, my own particular kind of nineteen years)"
(not wise enough: no wisdom needed here)
"(repeats? creates, reduces to a fragile evanescent iridescent sphere)"
(light-unimpeded)
(they cannot have told you this either)
(I was fourteen then)
(I was fourteen)
"(for that short time, that short brief unreturning springtime of the female heart)"
(that same child)
(possibly my father chose Ellen as a refuge for me because at that time Thomas Sutpen was also absent)
(now twice)
"(I never saw him. I never even saw him dead. I heard a name, I saw a photograph, I helped to make a grave: and that was all)"
"(I did not love him; how could I? I had never even heard his voice, had only Ellen’s word for it that there was such a person)"
"(How could I have, when I had never seen him?)"
"(and I still say, How could it be?)"
(or so I thought)
(a machine perhaps)
"(my childhood taught me that instead of love and it stood me in good stead; in fact, if it had taught me love, love could not have stood me so)"
"(ay, the willing)"
"(perhaps with pleasure, gratitude)"
(if it were love)
(I know it now)
(or lack of it)
(that year before the War)
(and it my trousseau)
(and which she herself did not enter again to my knowledge until Jones and the other man carried the coffin up the stairs)
"(Jones and another white man which he produced, exhumed, from somewhere made it of boards torn from the carriage house; I remember how while we ate the food which Judith yes, Judith: the same face calm cold and tranquil above the stove had cooked, ate it in the very room which he lay over, we could hear them hammering and sawing in the back yard, and how I saw Judith once, in a faded gingham sunbonnet to match the dress, giving them directions about making it; I remember how during all that slow and sunny afternoon they hammered and sawed right under the back parlor window the slow, maddening rasp. rasp. rasp. of the saw, the flat deliberate hammer blows that seemed as though each would be the last but was not, repeated and resumed just when the dulled attenuation of the wearied nerves, stretched beyond all resiliency, relaxed to silence and then had to scream again: until at last I went out there (and saw Judith in the barnlot in a cloud of chickens, her apron cradled about the gathered eggs) and asked them why? why there? why must it be just there? and they both stopped long and more than long enough for Jones to turn and spit again and say, ‘Because hit wouldn’t be so fur to tote the box’: and how before my very back was turned he one of them added further, out of some amazed and fumbling ratiocination of inertia, how ‘Hit would be simpler yit to fetch him down and nail the planks around him, only maybe Missus Judy wouldn’t like hit’)"
"(yes, took a candle from that firm untrembling hand and thought ‘She did not even weep’ and then in a lamp-gloomed mirror saw my own face and thought ‘Nor did you either’)"
(and this time final)
"(we did not even speak of Henry that day, not one of us; I did not say the aunt, the spinster ‘Did he look well or ill?’ I did not say one of the thousand trivial things with which the indomitable woman-blood ignores the man’s world in which the blood kinsman shows the courage or cowardice, the folly or lust or fear, for which his fellows praise or crucify him)"
(which we were)
(which we were not)
(or believe)
(who knew him)
"(I had never for one instant thought of marriage, never for one instant imagined that he would look at me, see me, since he never had. You may believe me, because I shall make no bones to say so when the moment comes to tell you when I did think of it.)"
(or at least quicker)
(the spirit and the heart)
"(that almost mad intention which he brought home with him, seemed to project, radiate ahead of him before he even dismounted)"
"(circumstance? a hundred years of careful nurturing, perhaps not by blood, not even Coldfield blood, but certainly by the tradition in which Thomas Sutpen’s ruthless will had carved a niche)"
(and abetted by Clytie)
(but not least)
"(yes, wild: half untamed black, half Sutpen blood: and if untamed’ be synonymous with ‘wild’, then ‘Sutpen’ is the silent unsleeping viciousness of the tamer’s lash)"
(Clytie)
"(this for more than to conserve the firewood which we had to carry in ourselves. We did it for safety. It was winter soon and already soldiers were beginning to come back the stragglers, not all of them tramps, ruffians, but men who had risked and lost everything, suffered beyond endurance and had returned now to a ruined land, not the same men who had marched away but transformed and this the worst, the ultimate degradation to which war brings the spirit, the soul into the likeness of that man who abuses from very despair and pity the beloved wife or mistress who in his absence has been raped. We were afraid. We fed them; we gave them what and all we had and we would have assumed their wounds and left them whole again if we could. But we were afraid of them.)"
(we could all see it now)
"(oh yes, we knew this too)"
"(Do you mind how I dont say he, but I?)"
(when I did had to look)
"(and would; ay, doubtless have already)"
(or even hope)
(so they will doubtless tell you)
"(she not moving, not moving a muscle)"
(he was fifty-nine)
(not afraid: concerned)
"(for all he ever told us, there might not have been any war at all, or it on another planet and no stake of his risked on it, no flesh and blood of his to suffer by it)"
(which enables man to bear with living)
(with no change of gaunt ruthless face nor level voice)
(failed? betrayed: and would this time destroy)
"(I was in the garden with a hoe, where the path came up from the stable lot)"
"(not attenuated to thinness but enlarged, magnified, encompassing as though in a prolonged and unbroken instant of tremendous effort embracing and holding intact that ten-mile square while he faced from the brink of disaster, invincible and unafraid, what he must have known would be the final defeat)"
"(he did not look at me again during the meal; I might have said then, To what deluded sewer-gush of dreaming does the incorrigible flesh betray us: but I did not)"
"(I do not know what he looked at while he spoke, save that by the sound of his voice it was not at us nor at anything in that room)"
"(ay, and delivered in the same attitude)"
"(he was sitting now also, in the chair which we called Clytie’s while she stood just beyond the firelight’s range beside the chimney)"
(and would never have again)
"(and I was saved; mine was to be some later, colder sacrifice when we I should be free of all excuse of the surprised importunate traitorous flesh)"
(granted that was what he wanted)
"(whatever it was he wanted of me not my being, my presence: just my existence, whatever it was that Rosa Coldfield or any young female no blood kin to him represented in whatever it was he wanted because I will do him this credit: he had never once thought about what he asked me to do until the moment he asked it because I know that he would not have waited two months or even two days to ask it)"
"(Or try to tell you, because there are some things for which three words are three too many, and three thousand words that many words too less, and this is one of them. It can be told; I could take that many sentences, repeat the bold blank naked and outrageous words just as he spoke them, and bequeath you only that same aghast and outraged unbelief I knew when I comprehended what he meant; or take three thousand sentences and leave you only that Why? Why? and Why? that I have asked and listened to for almost fifty years.)"
(demon or no)
(except myself: and was that not but further proof?)
(after that evening in Judith’s room)
"(though I the youngest, weakest)"
(and no hand on my head now)
(and kind too; they would be kind)
"(who had buried no hopes to bugles, beneath a flag)"
(even if she did help to grow and weave it)
"(that is, put on the shawl and hat again)"
(Miss Coldfield)
"(oh yes, they will tell you)"
(but you are wrong)
(do you mark the gradation?)
(do you mark them?)
(even if not rest and peace)
"(made of flour sacking when there had been flour, of window curtains when not)"
(Quentin)
"(and he soon needing, required, to say “No, neither aunt cousin nor uncle Rosa. Miss Rosa. Miss Rosa Coldfield, an old lady that died young of outrage in 1866 one summer” and then Shreve, “You mean she was no kin to you, no kin to you at all, that there was actually one Southern Bayard or Guinevere who was no kin to you? then what did she die for?” and that not Shreve’s first time, nobody’s first time in Cambridge since September: Tell about the South. What’s it like there. What do they do there. Why do they live there. Why do they live at all)"
(Quentin)
(Miss Coldfield)
(black once but faded now to that fierce muted metallic green of old peacock feathers)
(Quentin)
"(how did she put it? slut wasn’t all, was it?)"
"(bought her, outswapped his father-in-law, wasn’t it?)"
(the demon)
(the son)
(the demon)
"(and himself, husband or fiance, already safely cuckolded before she can draw breath)"
"(what is it? the word? white what? Yes, trash)"
"(his face quiet, reposed, curiously almost sullen)"
(Quentin)
(if the son still lived)
"(excusing what help they had from Jones who lived with his granddaughter in the abandoned fishing camp with its collapsing roof and rotting porch against which the rusty scythe which Sutpen was to lend him, make him borrow to cut away the weeds from the door and at last forced him to use though not to cut weeds, at least not vegetable weeds would lean for two years)"
(and maybe delivered too)
(who had not been bereaved and did not mourn)
"(and Clytie too, the one remaining servant, negro, the one who would forbid him to pass the kitchen door with what he brought)"
(quite frequent now)
(and in which he doubtless ordered Jones to fetch from the showcase the ribbons and beads and candy)
"(and Jones even sitting now who in the old days, the old dead Sunday afternoons of monotonous peace which they spent beneath the scuppernong arbor in the back yard, the demon lying in the hammock while Jones squatted against a post, rising from time to time to pour for the demon from the demijohn and the bucket of spring water which he had fetched from the spring more than a mile away then squatting again, chortling and chuckling and saying ‘Sho, Mister Tawm’ each time the demon paused)"
(a year or so too late here)
(or would admit it)
(which was hardly grizzled although his hair was almost white now)
"(the woman of thirty now and looking older, not as the weak grow old, either enclosed in a static ballooning of already lifeless flesh or through a series of stages of gradual collapsing whose particles adhere not to some iron and still impervious framework but to one another as though in some communal and oblivious and mindless life of their own like a colony of maggots, but as the demon himself had grown old: with a kind of condensation, an anguished emergence of the primary indomitable ossification which the soft color and texture, the light electric aura of youth, had merely temporarily assuaged but never concealed the spinster in homemade and shapeless clothing, with hands which could either transfer eggs or hold a plow straight in furrow)"
"(and maybe to the same place; maybe They would even have a scuppernong vine for them and no compulsions now of bread or ambition or fornication or vengeance and maybe they wouldn’t even have to drink only they would miss this now and then without knowing what it was that they missed but not often; serene, pleasant, unmarked by time or change of weather, only just now and then something, a wind, a shadow, and the demon would stop talking and Jones would stop guffawing and they would look at one another, groping, grave, intent, and the demon would say, ‘What was it, Wash? Something happened. What was it?’ and Jones looking at the demon, groping too, sober too, saying, ‘I dont know, Kernel Whut?’ each watching the other. Then the shadow would fade, the wind die away until at last Jones would say, serene, not even triumphant: ‘They mought have kilt us, but they aint whupped us yit, air they?’)"
